x,y,z
-7.199999999999999,2.75,0.0
-7.199999999999999,3.0,0.0
-7.199999999999999,3.25,0.0
-7.199999999999999,3.5,0.0
-7.199999999999999,3.75,0.0
-7.199999999999999,4.0,0.0
-7.199999999999999,4.25,0.0
-7.199999999999999,4.5,0.0
-7.199999999999999,4.75,0.0
-7.199999999999999,5.0,0.0
-6.399999999999999,0.0,0.0
-6.399999999999999,0.25,0.0
-6.399999999999999,0.5,0.0
-6.399999999999999,0.75,0.0
-6.399999999999999,1.0,0.0
-6.399999999999999,1.25,0.0
-6.399999999999999,1.5,0.0
-6.399999999999999,1.75,0.0
-6.399999999999999,2.0,0.0
-6.399999999999999,2.25,0.0
-6.399999999999999,2.5,0.0
-6.399999999999999,2.75,0.0
-6.399999999999999,3.0,0.0
-6.399999999999999,3.25,0.0
-6.399999999999999,3.5,0.0
-6.399999999999999,3.75,0.0
-6.399999999999999,4.0,0.0
-6.399999999999999,4.25,0.0
-6.399999999999999,4.5,0.0
-6.399999999999999,4.75,0.0
-6.399999999999999,5.0,0.0
-5.6,0.0,0.0
-5.6,0.25,0.0
-5.6,0.5,0.0
-5.6,0.75,0.0
-5.6,1.0,0.0
-5.6,1.25,0.0
-5.6,1.5,0.0
-5.6,1.75,0.0
-5.6,2.0,0.0
-5.6,2.25,0.0
-5.6,2.5,0.0
-5.6,2.75,0.0
-5.6,3.0,0.0
-5.6,3.25,0.0
-5.6,3.5,0.0
-5.6,3.75,0.0
-5.6,4.0,0.0
-5.6,4.25,0.0
-5.6,4.5,0.0
-5.6,4.75,0.0
-5.6,5.0,0.0
-4.799999999999999,0.0,0.0
-4.799999999999999,0.25,0.0
-4.799999999999999,0.5,0.0
-4.799999999999999,0.75,0.0
-4.799999999999999,1.0,0.0
-4.799999999999999,1.25,0.0
-4.799999999999999,1.5,0.0
-4.799999999999999,1.75,0.0
-4.799999999999999,2.0,0.0
-4.799999999999999,2.25,0.0
-4.799999999999999,2.5,0.0
-4.799999999999999,2.75,0.0
-4.799999999999999,3.0,0.0
-4.799999999999999,3.25,0.0
-4.799999999999999,3.5,0.0
-4.799999999999999,3.75,0.0
-4.799999999999999,4.0,0.0
-4.799999999999999,4.25,0.0
-4.799999999999999,4.5,0.0
-4.799999999999999,4.75,0.0
-4.799999999999999,5.0,0.0
-4.0,0.0,0.0
-4.0,0.25,0.0
-4.0,0.5,0.0
-4.0,0.75,0.0
-4.0,1.0,0.0
-4.0,1.25,0.0
-4.0,1.5,0.0
-4.0,1.75,0.0
-4.0,2.0,0.0
-4.0,2.25,0.0
-4.0,2.5,0.0
-4.0,2.75,0.0
-4.0,3.0,0.0
-4.0,3.25,0.0
-4.0,3.5,0.0
-4.0,3.75,0.0
-4.0,4.0,0.0
-4.0,4.25,0.0
-4.0,4.5,0.0
-4.0,4.75,0.0
-4.0,5.0,0.0
-3.1999999999999993,0.0,0.0
-3.1999999999999993,0.25,0.0
-3.1999999999999993,0.5,0.0
-3.1999999999999993,0.75,0.0
-3.1999999999999993,1.0,0.0
-3.1999999999999993,1.25,0.0
-3.1999999999999993,1.5,0.0
-3.1999999999999993,1.75,0.0
-3.1999999999999993,2.0,0.0
-3.1999999999999993,2.25,0.0
-3.1999999999999993,2.5,0.0
-3.1999999999999993,2.75,0.0
-3.1999999999999993,3.0,0.0
-3.1999999999999993,3.25,0.0
-3.1999999999999993,3.5,0.0
-3.1999999999999993,3.75,0.0
-3.1999999999999993,4.0,0.0
-3.1999999999999993,4.25,0.0
-3.1999999999999993,4.5,0.0
-3.1999999999999993,4.75,0.0
-3.1999999999999993,5.0,0.0
-2.3999999999999986,0.0,0.0
-2.3999999999999986,0.25,0.0
-2.3999999999999986,0.5,0.0
-2.3999999999999986,0.75,0.0
-2.3999999999999986,1.0,0.0
-2.3999999999999986,1.25,0.0
-2.3999999999999986,1.5,0.0
-2.3999999999999986,1.75,0.0
-2.3999999999999986,2.0,0.0
-2.3999999999999986,2.25,0.0
-2.3999999999999986,2.5,0.0
-2.3999999999999986,2.75,0.0
-2.3999999999999986,3.0,0.0
-2.3999999999999986,3.25,0.0
-2.3999999999999986,3.5,0.0
-2.3999999999999986,3.75,0.0
-2.3999999999999986,4.0,0.0
-2.3999999999999986,4.25,0.0
-2.3999999999999986,4.5,0.0
-2.3999999999999986,4.75,0.0
-2.3999999999999986,5.0,0.0
-1.5999999999999979,0.0,0.0
-1.5999999999999979,0.25,0.0
-1.5999999999999979,0.5,0.0
-1.5999999999999979,0.75,0.0
-1.5999999999999979,1.0,0.0
-1.5999999999999979,1.25,0.0
-1.5999999999999979,1.5,0.0
-1.5999999999999979,1.75,0.0
-1.5999999999999979,2.0,0.0
-1.5999999999999979,2.25,0.0
-1.5999999999999979,2.5,0.0
-1.5999999999999979,2.75,0.0
-1.5999999999999979,3.0,0.0
-1.5999999999999979,3.25,0.0
-1.5999999999999979,3.5,0.0
-1.5999999999999979,3.75,0.0
-1.5999999999999979,4.0,0.0
-1.5999999999999979,4.25,0.0
-1.5999999999999979,4.5,0.0
-1.5999999999999979,4.75,0.0
-1.5999999999999979,5.0,0.0
-0.7999999999999972,0.0,0.0
-0.7999999999999972,0.25,0.0
-0.7999999999999972,0.5,0.0
-0.7999999999999972,0.75,0.0
-0.7999999999999972,1.0,0.0
-0.7999999999999972,1.25,0.0
-0.7999999999999972,1.5,0.0
-0.7999999999999972,1.75,0.0
-0.7999999999999972,2.0,0.0
-0.7999999999999972,2.25,0.0
-0.7999999999999972,2.5,0.0
-0.7999999999999972,2.75,0.0
-0.7999999999999972,3.0,0.0
-0.7999999999999972,3.25,0.0
-0.7999999999999972,3.5,0.0
-0.7999999999999972,3.75,0.0
-0.7999999999999972,4.0,0.0
-0.7999999999999972,4.25,0.0
-0.7999999999999972,4.5,0.0
-0.7999999999999972,4.75,0.0
-0.7999999999999972,5.0,0.0
0.0,0.0,0.0
0.0,0.25,0.0
0.0,0.5,0.0
0.0,0.75,0.0
0.0,1.0,0.0
0.0,1.25,0.0
0.0,1.5,0.0
0.0,1.75,0.0
0.0,2.0,0.0
0.0,2.25,0.0
0.0,2.5,0.0
0.0,2.75,0.0
0.0,3.0,0.0
0.0,3.25,0.0
0.0,3.5,0.0
0.0,3.75,0.0
0.0,4.0,0.0
0.0,4.25,0.0
0.0,4.5,0.0
0.0,4.75,0.0
0.0,5.0,0.0
0.8000000000000007,0.0,0.0
0.8000000000000007,0.25,0.0
0.8000000000000007,0.5,0.0
0.8000000000000007,0.75,0.0
0.8000000000000007,1.0,0.0
0.8000000000000007,1.25,0.0
0.8000000000000007,1.5,0.0
0.8000000000000007,1.75,0.0
0.8000000000000007,2.0,0.0
0.8000000000000007,2.25,0.0
0.8000000000000007,2.5,0.0
0.8000000000000007,2.75,0.0
0.8000000000000007,3.0,0.0
0.8000000000000007,3.25,0.0
0.8000000000000007,3.5,0.0
0.8000000000000007,3.75,0.0
0.8000000000000007,4.0,0.0
0.8000000000000007,4.25,0.0
0.8000000000000007,4.5,0.0
0.8000000000000007,4.75,0.0
0.8000000000000007,5.0,0.0
1.6000000000000014,0.0,0.0
1.6000000000000014,0.25,0.0
1.6000000000000014,0.5,0.0
1.6000000000000014,0.75,0.0
1.6000000000000014,1.0,0.0
1.6000000000000014,1.25,0.0
1.6000000000000014,1.5,0.0
1.6000000000000014,1.75,0.0
1.6000000000000014,2.0,0.0
1.6000000000000014,2.25,0.0
1.6000000000000014,2.5,0.0
1.6000000000000014,2.75,0.0
1.6000000000000014,3.0,0.0
1.6000000000000014,3.25,0.0
1.6000000000000014,3.5,0.0
1.6000000000000014,3.75,0.0
1.6000000000000014,4.0,0.0
1.6000000000000014,4.25,0.0
1.6000000000000014,4.5,0.0
1.6000000000000014,4.75,0.0
1.6000000000000014,5.0,0.0
2.400000000000002,0.0,0.0
2.400000000000002,0.25,0.0
2.400000000000002,0.5,0.0
2.400000000000002,0.75,0.0
2.400000000000002,1.0,0.0
2.400000000000002,1.25,0.0
2.400000000000002,1.5,0.0
2.400000000000002,1.75,0.0
2.400000000000002,2.0,0.0
2.400000000000002,2.25,0.0
2.400000000000002,2.5,0.0
2.400000000000002,2.75,0.0
2.400000000000002,3.0,0.0
2.400000000000002,3.25,0.0
2.400000000000002,3.5,0.0
2.400000000000002,3.75,0.0
2.400000000000002,4.0,0.0
2.400000000000002,4.25,0.0
2.400000000000002,4.5,0.0
2.400000000000002,4.75,0.0
2.400000000000002,5.0,0.0
3.200000000000003,0.0,0.0
3.200000000000003,0.25,0.0
3.200000000000003,0.5,0.0
3.200000000000003,0.75,0.0
3.200000000000003,1.0,0.0
3.200000000000003,1.25,0.0
3.200000000000003,1.5,0.0
3.200000000000003,1.75,0.0
3.200000000000003,2.0,0.0
3.200000000000003,2.25,0.0
3.200000000000003,2.5,0.0
3.200000000000003,2.75,0.0
3.200000000000003,3.0,0.0
3.200000000000003,3.25,0.0
3.200000000000003,3.5,0.0
3.200000000000003,3.75,0.0
3.200000000000003,4.0,0.0
3.200000000000003,4.25,0.0
3.200000000000003,4.5,0.0
3.200000000000003,4.75,0.0
3.200000000000003,5.0,0.0
4.0,0.0,0.0
4.0,0.25,0.0
4.0,0.5,0.0
4.0,0.75,0.0
4.0,1.0,0.0
4.0,1.25,0.0
4.0,1.5,0.0
4.0,1.75,0.0
4.0,2.0,0.0
4.0,2.25,0.0
4.0,2.5,0.0
4.0,2.75,0.0
4.0,3.0,0.0
4.0,3.25,0.0
4.0,3.5,0.0
4.0,3.75,0.0
4.0,4.0,0.0
4.0,4.25,0.0
4.0,4.5,0.0
4.0,4.75,0.0
4.0,5.0,0.0
4.800000000000001,0.0,0.0
4.800000000000001,0.25,0.0
4.800000000000001,0.5,0.0
4.800000000000001,0.75,0.0
4.800000000000001,1.0,0.0
4.800000000000001,1.25,0.0
4.800000000000001,1.5,0.0
4.800000000000001,1.75,0.0
4.800000000000001,2.0,0.0
4.800000000000001,2.25,0.0
4.800000000000001,2.5,0.0
4.800000000000001,2.75,0.0
4.800000000000001,3.0,0.0
4.800000000000001,3.25,0.0
4.800000000000001,3.5,0.0
4.800000000000001,3.75,0.0
4.800000000000001,4.0,0.0
4.800000000000001,4.25,0.0
4.800000000000001,4.5,0.0
4.800000000000001,4.75,0.0
4.800000000000001,5.0,0.0
5.600000000000001,0.0,0.0
5.600000000000001,0.25,0.0
5.600000000000001,0.5,0.0
5.600000000000001,0.75,0.0
5.600000000000001,1.0,0.0
5.600000000000001,1.25,0.0
5.600000000000001,1.5,0.0
5.600000000000001,1.75,0.0
5.600000000000001,2.0,0.0
5.600000000000001,2.25,0.0
5.600000000000001,2.5,0.0
5.600000000000001,2.75,0.0
5.600000000000001,3.0,0.0
5.600000000000001,3.25,0.0
5.600000000000001,3.5,0.0
5.600000000000001,3.75,0.0
5.600000000000001,4.0,0.0
5.600000000000001,4.25,0.0
5.600000000000001,4.5,0.0
5.600000000000001,4.75,0.0
5.600000000000001,5.0,0.0
6.400000000000002,0.0,0.0
6.400000000000002,0.25,0.0
6.400000000000002,0.5,0.0
6.400000000000002,0.75,0.0
6.400000000000002,1.0,0.0
6.400000000000002,1.25,0.0
6.400000000000002,1.5,0.0
6.400000000000002,1.75,0.0
6.400000000000002,2.0,0.0
6.400000000000002,2.25,0.0
6.400000000000002,2.5,0.0
